Projeto;Ações;Parceiro;Instrumento Utilizado; Origem Recurso ;VALOR DO RECURSO;Objetivo;Local;Pessoas Atendidas;Público Alvo;INICIO;FIM;Resultado Esperado
Gingado Capoeira;"Realização de pesquisas sobre a capoeira em jornais e revistas; Trabalhos de expressão corporal e rítmico; - Encenação teatral de trechos da história da capoeira; montagem de coreografias de folguedos folclóricos; Formação de grupos musicais e orquestras de berimbaus, com instrumentos e ritmos da capoeira para apresentações em escolas e na comunidade; - Produção de músicas de capoeira, retratando a realidade do núcleo e da comunidade; realização de rodas de capoeira; realização de festivais de capoeira, com a exposição do material produzido (textos, músicas, instrumentos, peças teatrais e coreografias).";Associação Cultural Gingado Capoeira;CONVÊNIO;Emenda Parlamentar n° 36300012; R$182.200,00 ;Realizar ações voltadas à inclusão social, à educação esportiva e à formação cultural de crianças e jovens em situação de vulnerabilidade socioeconômica, por meio do ensino, da prática e da difusão de manifestações culturais afro-brasileira em especial aulas de Capoeira.;Nas cidades satélites do Distrito Federal: Guará, Asa Norte, Samambaia, Vila Planalto, Paranoá, Itapuã e Cruzeiro;175;Crianças e jovens em situação de vulnerabilidade socioeconômica;1302/2017;30/08/2017;Atendimento de 25 a 30 alunos por localidade atendido
Núcleo de Formadores de Agentes da Cultura Afro-brasileira - NUFAC/2016;Curso de Extensão em Assistente em Design e Produção de Moda com Referência à Matriz Africana, Curso de Extensão em Desenvolvimento de Jogos Analógicos e Digitais, Curso de Extensão de Operador de Processamento de Frutas e Hortaliças ;Instituto Federal de Brasília (IFB);TED;Emenda Parlamentar n° 28260002; R$491.000,00 ;Ofertar cursos para qualificar pessoas de comunidades negras e potencializar sua inclusão no mercado de trabalho.;Campus Taguatinga, Campus Estrutural e Campus Gama.;60;Comunidade Negra residente no DF;01/11/2016;01/11/2017;Criar condições para possibilitar mais inserções da comunidade negra no mercado de trabalho.
Projeto Circuito Cultural de Dança Afro-Brasileira ;   Evento composto de apresentações de danças pertinentes à cultura Afro-Brasileira realizado em Brasília e Regiões Administrativas do Distrito Federal. Oferecer infraestrutura para os grupos culturais a fim de promover, divulgar a cultura afro-brasileira.  busca promover a consciência artística e resgate sócio-cultural, notadamente na área da dança, em cada localidade a ser contemplada no âmbito do Distrito Federal, resultando numa grande mostra da cultura afro-brasileira em 14  cidades satélites  do DF, e no Plano Piloto.;Execução direta da FCP;Adesão de Ata de Registro de Preço;Emenda Parlamentar nº 3755016   e Emenda Parlamentar Senador Hélio José  nº 3791.0012 ; R$1.683.824,00 ;Realização de um circuito de danças afro-brasileiras, como Afoxé, Bumba Meu Boi, Cacuriá, Capoeiras, Carimbó, entre outras.;Taguatinga, Itapoã, Paranoá, São Sebastião, Santa Maria, Gama, Recanto das Emas,Riacho Fundo I e II, Guará I, Samambaia, Ceilândia, Estrutural, Brazlândia e Brasília ;28.000;Público Geral;21/10/2016;05/02/2017;Proporcionar o conhecimento e identidade com a diversidade da cultura afro-brasileira às comunidades contempladas bem como incentivar e identificar as possibilidades para os artistas locais por meio de seu trabalho a geração de renda e a mobilidade social. 
XII Batizado de Troca de Cordel Cultural de Capoeira;Oficinas de práticas de capoeira, palestras sobre metodologia de aplicação e seus fundamentos, rodas temáticas de conversas, fóruns culturais;"""-""";Licitação - modalidade Inexigibilidade;Emenda Parlamentar nº 37910012; R$169.362,00 ;"promoção de espetáculos de grupos tradicionais de cultura popular afro-brasileira, sendo eles: Boi de Seu Teodoro, Seu Estrelo e o Fuá do Terreiro e Grito de Liberdade
 ";Brasília/df (Riacho Fundo I);1000;População local e convidados;09/12/2016;11/12/2016;Difusão das manifestações do patrimônio imaterial e das tradições culturais afro-brasileiras no Distrito Federal. 
Circuito Afro Brasileiro de Cinema do Tocantins ;Exibição de filmes de cineastas e diretores afro-descendentes em 30 (trinta) municípios do Estado de Tocantins.;Instituto Casa da Vila;CONVENIO;Emenda Parlamentar nº 24290007; R$1.000.000,00 ;Promover a cultura afro-brasileira através da Produção de Documentário e realização de Cineclube itinerante com exibição de filmes de cineastas e diretores afro-descendentes em 30 (trinta) municípios do Estado de Tocantins.;Tocantins/TO  que objetivou visitar 30 cidades do Estado do Tocantins;12000;publico geral;23/01/2017;08/01/2018;
Virada Afro - Circuito Cultural Amapá Afro;"Música, gastronomia, artesanato, expressões culturais tradicionais, literatura e demais segmentos culturais de influência africana.; Difusão de costumes e tradições da cultura negra e fomentar negócios de empreendedores da comunidade negra do Amapá e Região Amazônica; Estimular a produtividade da comunidade negra, impulsionando o interesse em investimentos nesse mercado; Estimular a capacitação para comercialização de produtos afro-étnicos; - Promoção de espetáculos de música e dança; - Promoçãode apresentações de grupos tradicionais e de matriz africana; - Promoçãode apresentações de grupos de capoeira e de dança de rua; - Promoção de palestras com temas ligados a cultura negra, por personalidades de renome nacional e local.";Governo do Estado do Amapá;CONVENIO;Emenda Parlamentar nº 37220001; R$1.000.000,00 ;Realizar o projeto VIRADA AFRO - CIRCUITO CULTURAL AMAPÁ AFRO na cidade de Macapá, com a realização de feira afro-étnica voltada para produtos de aspectos culturais das comunidades tradicionais do Estado do Amapá. ;Macapá/AP;45000;Público Geral;29/12/2017;30/12/2017;"- Difusão de costumes e tradições da cultura negra e fomentar negócios de empreendedores da comunidade negra do Amapá e Região Amazônica;"
Rede de Agentes Sociais – Com Enfoque na Cultura Afro-Brasileira;Realizar dois encontros em Belo Horizonte - MG, com representantes de associações civis e movimentos sociais como atividades de encerramento dos ciclos dos CRBs - Cursos Realidade Brasileira de Minas Gerais.;Universidade Federal de Alfenas - UNIFAL;TED;Emenda Parlamentar nº 27640013; R$100.000,00 ;CONSOLIDAR a Rede de Agentes Sociais. Surge após a necessidade de se criar um espaço permanente de discussões e debates sobre a realidade brasileira. Essa demanda é oriunda da realização dos CRBs  promovidos em seis regiões (Rio Doce, Zona da Mata, Sul de Minas, Triangulo Mineiro, Norte de Minas, Metropolitana) do estado de Mina Gerais.;Belo Horizonte;284;Educadores populares, professores e jovens negros do estado de Minas Gerais;01/12/2016;01/11/2017;Formação de uma rede de educadores populares, agentes sócio culturais, agentes comunitários, de maneira que eles estejam melhor preparados e empoderados a fim de propiciar o avanço concreto da implementação da Lei 10.639/03, tornando-a uma realidade e uma prática social. 
Encontros de Formação com Grandes Mestres de Capoeira e Seminário História, Tradição e Ginga- No Caminho da Salvaguarda;"Fomentar a criação e uma rede de grupos de capoeira, visando o contato e divulgação de informações sobre a capoeira, incluindo eventos; Elaborar diretrizes para organização de espaços de participação popular; Organizar um grupo para discussão e representação junto ao coletivo deliberativo de mestres do estado de São Paulo, organizando a representação do Estado junto as demandas nacionais;  Construir a carta de Ribeirão Preto, com indicativos de construção de políticas públicas e orçamentárias para fomento da capoeira;  Apresentar a Região de Ribeirão Preto ao cenário nacional/internacional enquanto berço de uma capoeira raiz;  Apresentação de documento balizador para inclusão de mestres de cultura popular, (CAPOEIRA) em todos os editais de seleção de projetos e ou consultores, quando se tratar de cultura negra e ou popular.";Prefeitura Municipal de Ribeirão Preto;CONVENIO;Emenda Parlamentar nº 282000014; R$200.000,00 ;Contribuir para Salvaguarda da Capoeira, enquanto Patrimônio Imaterial, passando pela vertente de fortalecimento dos detentores do saber dessa arte, bem como elaborar diretrizes para organização de espaços de participação popular;Ribeirão Preto/SP;500;capoeiristas e detentores do saber de cultura negra, alunos de capoeira, crianças e adolescentes;29/12/2016;31/07/2017;Salvagaurda da capoeira
REALIZAÇÃO DE ATIVIDADES CULTURAIS COMEMORATIVAS AO DIA 20 DE NOVEMBRO - DIA NACIONAL DA CONSCIÊNCIA NEGRA;Exposições de Arte, Lançamento de Publicações, Campanha Filhos do Brasil, Feira de Artesanato Quilombola, Cortejo Afro, Feira de Produtos Culturais e Gastronômicas e Atividades Artísticas, Culturais e shows musicais com artistas locais.                             ;Governo do Estado de Alagoas, Prefeituras de Maceió e União dos Palmares;Licitação - Inexigibilidade e Pregão Eletrônico;Recurso Próprio da Fundação, no valor de R$ 165.000,00 (atividade realizada em São Paulo) e R$ 1.100.000,00 do Fundo Nacional de Cultura (FNC), em Maceió; R$1.265.000,00 ;Realizar atividades de Promoção, Proteção e Divulgações, envolvendo um conjunto de projetos, ações e atividades ;"Maceió; São Paulo";10.000 - Maceió  15.000 - São Paulo           ;Público Geral;09/11/2016;20/11/2016;Proporcionar o conhecimento e identidade com a diversidade da cultura afro-brasileira às comunidades contempladas, bem como incentivar e identificar as possibilidades para os artistas locais por meio de seu trabalho a geração de renda e a mobilidade social. 
I Ciclo de Formação Direitos Humanos e Diversidade: Sistema Penal e Racismo do Estado de Alagoas;Debate sobre racismo, igualdade racial e cidadania relacionado ao sistema penal do estado de Alagoas;Governo do Estado de Alagoas;A infraestrutura do evento foi custeada pela Secretaria de Segurança Pública do Estado de Alagoas ;A Fundação utilizou parte do seu recurso de R$ 165.000,00 para a confecção de cartílhas e emissão de bilhetes aéreos e pagamento de diárias para os palestrantes.; R$165.000,00 ;Ampliar a implementação de ações voltadas para o fortalecimento do patrimônio cultural afro-brasileiro relacionado ao combate ao racismo, a promoção da igualdade racial e o resgate da cidadania no exercício dos direitos e garantias individuais e coletivas da população negra.;Maceió/AL;200;Policiais Militares, Civil e Federais,  Bombeiros Militares e Agentes Penitenciários ;09/11/16;10//11/2016;"Promoção e Proteção dos Direitos da População Negra; Atendimento de qualidade às vitimas de racismo e adequado encaminhamento, e; Conscientização a partir da exposição do tema quanto à necessidade de se preservar a vida humana. "
"Apoio à realização do Projeto ""Caminhada da Liberdade"", em sua 16ª edição.";Atividades socioculturais como seminário, caminhada e espetáculo em praça pública.    Promoção de um espetáculo do grupo tradicional de cultura popular afro-brasileira Mamulengo da Bahia;Fórum de Entidades Negras da Bahia;Licitação - Inexigibilidade.;Recurso Próprio da FCP; R$60.000,00 ;"Trata-se de uma ação organizada por entidades de movimento negro que compõe o Fórum de Entidades Negras da Bahia. O evento tem como objetivo a luta por conquistas de melhoria para o povo negro.
Na edição de 2016 o Fórum, esta manteve o mesmo tema de 2015: ""Década Internacional de Afrodescendentes"", com o subtema ""Juventude Tradição Tecnologia e Perspectiva"", com a proposta de uma década dedicada aos povos de ascendência africana para o desenvolvimento da cultura e reconhecimento da justiça e Direitos Humanos, reconhecendo que os povos afro-descendentes representam um grupo distinto cujos direitos humanos precisam ser promovidos e protegidos.


";Salvador/BA;?????;Público Geral;03/12/2016;03/12/2016;Proporcionar o conhecimento e identidade com a diversidade da cultura afro-brasileira às comunidades contempladas, bem como incentivar e identificar as possibilidades para os artistas locais por meio de seu trabalho a geração de renda e a mobilidade social. 
Apoio à Realização do X Encontro de Cinema Negro Zózimo Bulbul – Brasil, África e Caribe/10 anos;Fortalecimento da cultura cinematográfica negra, qualificando sua produção local, propiciando, parcialmente, logística e infraestrutura para realização do Encontro de Cinema Negro Zózimo Bulbul – Brasil, África e Caribe/10 anos, de forma a promover o estreitamento das relações internacionais entre o Brasil, países da África e suas diásporas, nessa temática.;CEFET/RJ;TED;Recurso próprio da FCP; R$150.000,00 ; O projeto apoiado traduz o interesse recíproco das  duas instituições envolvidas, no que diz respeito à realização do evento voltado à cinematogafia negra, pois o cinema representa uma potente ferramenta de educação e de formação de valores para uma mudança na condição social, assim como ao combate a todas as formas  de discriminação e  à  xenofobia. Além disso, contribuiu para o cumprimento da missão institucional da Fundaçao Cultural Palmares e alcance de metas previstas no Plano Nacional de Cultura - PNC.                                                                                               ;Rio de Janeiro/RJ;500;Cineastas, produtores e profissionais negros da área cinematográfica;30/08/2017;06/09/2017;Difusão  e fortalecimento do segmento, bem como abertura de perspectivas para nova iniciativas.
Apoio à realizaçao da 10ª Edição do Festival da Mulher Afro Latino Americana e Caribenha - Latinidades 2017;"Promoção de encontros que dão visibilidade para a produçaõ artística, cultural, política e intelectual de mulheres negras em todo o mundo, e , também transformar a cultura afro-brasileira em caminho para o desnevolvimento socioeconomcio da produçao negra; promover igualdade de oportunidades e respeito à divesidade cultura, e combate ao racismo por meio da promoção, valorização e divulgação da cultura negra. ";;Licitação - Inexigibilidade;Recurso próprio da Fundação; R$20.000,00 ;Propor uma reflexão coletiva: como a arte e os saberes de mulheres negras, assim como lutas históricas e contemporâneas por direitos e por liberdade.;Brasília/DF;4.000 pessoas;Público Geral;25/07/2017;20/10/2017;Contribuição para aplicaçao da Lei 10.639/2003 nos curriculos escolares, resgate da história da mulher negra e fomento às ações afirmativas , circulação da produção artística de mulheres negras brasileiras, latinoamericanas e caribenhas
"Espetáculo de Teatro Musical “Cartola – O Mundo é um Moinho""";Dar visibilidade à trajetória de vida de um dos mais importantes artistas negros do país, o Cartola, que figura entre a maior personalidade do samba no Brasil, fundador de uma das mais antigas e certamente a mais popular Escola de Samba, A G.R.E.S. Estação Primeira de Mangueira. Além disso, o projeto contribuiu para a auto-estima da população negra.;"""-""";Licitação - Inexigibilidade;Recurso próprio da Fundação; R$450.000,00 ;  Dar visibilidade à trajetória de vida de um dos mais importantes artistas negros do país, o Cartola, que figura entre a maior personalidade do samba no Brasil, fundador de uma das mais antigas e certamente a mais popular Escola de Samba, A G.R.E.S. Estação Primeira de Mangueira. Além disso, o projeto contribuiu para a auto-estima da população negra.;Maceio/AL, Salvador/BA e Belo Horizonte- MG;6.000;PÚblico Geral;06/07/2017;10/08/2017;   A atividade realizada promoveu difusão e pequena mostra da produção teatral negra no Brasil, com grande relevância  no cenário artístico relacionada ao samba, nas cidades de Maceió/AL,  Salvador/BA e Belo Horizonte/MG.          
Projeto Circuito de Dança Afro-Brasileira no Distrito Federal.;   Evento composto de apresentações de danças pertinentes à cultura Afro-Brasileira realizado em Brasília ( Oferecer infraestrutura para os grupos culturais a fim de promover, divulgar a cultura afro-brasileira.  busca promover a consciência artística e resgate sócio-cultural, notadamente na área da dança, em cada localidade a ser contemplada no âmbito do Distrito Federal, resultando numa grande mostra da cultura afro-brasileira  em diversas localidades da capital.;Execução direta da FCP;Licitação -  Inexigibilidade ; Emenda Parlamentar  n° 37910002  ; R$419.538,00 ;Inclusão social e redução de desigualdades com melhor distribuição das oportunidades e do acesso a bens e serviços publicos de qualidade;Brasília/DF;20000;Público Geral;22/09/2017;22/10/2017;   O projeto ofertou às localidades contempladas à diversidade das danças que a cultura afrodescendente oferece, bem como integrou diversas estéticas artísticas que guardam relação a esse processo cultural. 
CERTIFICAÇÃO DA SERRA DA BARRIGA;"Evento realizado em parceria com o Governo do Estado de Alagoas de entrega do Certificado de reconhecimento da Serra da Barriga como Patrimônio Cultural do Mercosul. Receberam certificados o Governo do Estado de Alagoas, o Município de União dos Palmares e o Governo Federal - Ministério da Cultura, assim como a entrega simbólica de certificado à comunidade civil. O evento contou com a apresentação do Afro Caeté e do Odoyá, artistas locais; Uma visita guiada pela Serra da Barriga  e a Encenação ""O Encanto da Lagoa"", de criação e direção de Márcia Uchôa.. ""O Encanto da Lagoa"" é uma representação musical e teatral do patrimônio imaterial da Serra da Barriga, a musicalidade, a espiritualidade e a  ancestralidade negra inerentes à Serra, um espaço de vivência e resistência afro-brasileira. A encenação teve como objetivo fortalecer e valorizar as religiôes de matriz africana, além de reduzir a intolerância religiosa e a perseguição daqueles que são adeptos destas.";Parceria com Secretaria de Cultura do Estado e Municipio e Execução Direta;Diárias e Passagens ;Recurso próprio da FCP; R$9.497,00 ;Fortalecimento de artistas locais, proteção e valorização de religioes de matriz africana, mobilidade social, inclusão social, reconhecimento da cultura afro-brasileira como bem material e imaterial da população afro-brasileira;União de Palmares/AL;650;Público Geral;11/11/2017;11/11/2017;Fortalecer e valorizar as religiões de matriz africana, apresentar o potencial da Serra da Barriga enquanto bem cultural, valorizar artistas locais.
VAMOS SUBIR A SERRA;Feira Cultural realizada em parceria com o Governo do Estado de Alagoas. A Feira consistiu em uma Tenda instalada na orla da Praia da Pajuçara, no espaço Multieventos, com estandes para exposição e venda, assim como auditório para mostras, debates, palestras e apresentações artísticas.  A FCP realizou a Feira Quilombola, arcando com as despesas de montagem e disposição dos estandes, assim como a alimentação, transporte e hospedagem dos quilombolas participantes da feira.;Cetnro de Cultura e Estudo Etnicos ANAJO  e Execução Direta;Contratação de serviços,estrutura  e artistas. ;Recurso próprio da FCP; R$413.100,30 ;Inclusão social, mobilidade social através do fortalecimento de empreendedores locais.;Maceió/AL;2000;Público Geral;15/11/2017;19/11/2017;Inclusão social, mobilidade social através do fortalecimento de empreendedores locais.
VIRADA AFRO CULTURAL MACAPÁ;"A Virada Afro-cultural é um arcabouço de atividades, dentre elas Exposições, Artes
Cênicas, Música, Multi Feira Afro, Cinema, Desfile de Moda, Dança (Hip Hop, Dança
Afro-contemporânea, Samba de Roda, Jongo, Coco, Maculelê, Nego Fugido, Marabaixo) apresentando e promovendo as manifestações artísticas locais.";Execução direta da FCP;Contratação de serviços,estrutura  e artistas. ;Emenda parlamentar nº 37220005; R$753.274,39 ;O foco das ações da Virada Afro-cultural é a capacitação da população negra e da promoção do trabalho de afroempreendedores locais, sejam eles artesãos ou músicos, dançarinos ou estilistas. A estrutura da Virada permite que essas pessoas possam expor e difundir sua arte, de maneira autêntica, perpetuando o laço entre a tradição e a contemporaneidade. ;Macapá/AP;"30 afroempreendedores; 100 alunos em seminários;103 pessoas capacitadas; 30 grupos regionais contratados; 80.000 publico geral";Público Geral;29/12/2017;31/12/2017;"Participação de 30 afro-empreendedores quilombolas; Participação de 100 alunos em seminários voltados ao combate ao racismo e violência; Capacitação de 103 pessoas em
cursos realizados em parceria com o SEBRAE,
nos seguintes temas: Boas Práticas de Higiene
e Manipulação de Alimentos, Elaboração e
Gestão de Projetos Culturais, Condutor de
Visitantes Local; Apresentação de 30 grupos
regionais."
VIRADA AFRO CULTURAL SANTANA;"A Virada Afro-cultural é um arcabouço de atividades, dentre elas Exposições, Artes
Cênicas, Música, Multi Feira Afro, Cinema, Desfile de Moda, Dança (Hip Hop, Dança
Afro-contemporânea, Samba de Roda, Jongo, Coco, Maculelê, Nego Fugido, Marabaixo) apresentando e promovendo as manifestações artísticas locais. Virada Afro-cultural em Santana é a segunda edição do projeto que possui
caráter replicável e desdobrável, respeitando as características locais, assim
como as demandas. A realização do projeto em Santana constitui uma iniciativa
de reparação e valorização histórica, visto que o município tornou-se lar de
negros e negras que foram sistematicamente segregados da capital com a
abolição da escravatura, no século XVI.";Execução direta da FCP;Contratação de serviços,estrutura  e artistas. ;Emenda parlamentar nº 37220004; R$699.932,28 ;O foco das ações da Virada Afro-cultural é a capacitação da população negra e da promoção do trabalho de afroempreendedores locais, sejam eles artesãos ou músicos, dançarinos ou estilistas. A estrutura da Virada permite que essas pessoas possam expor e difundir sua arte, de maneira autêntica, perpetuando o laço entre a tradição e a contemporaneidade. ;Santana/AP;"60 afro-empreendedores
quilombolas;  100 alunos em
seminários;Capacitação de 51 pessoas em cursos
realizados em parceria com o SEBRAE; Apresentação de 46
grupos tradicionais da cultura negra.; 20.000 público geral";Público Geral;28/06/2018;30/06/2018;"Participação de 60 afro-empreendedores
quilombolas; participação de 100 alunos em
seminários voltados ao combate ao racismo e
violência; Capacitação de 51 pessoas em cursos
realizados em parceria com o SEBRAE, nos seguintes
temas: Boas Práticas de Higiene e Manipulação de
Alimentos, Elaboração e Gestão de Projetos Culturais,
Condutor de Visitantes Local; Apresentação de 46
grupos tradicionais da cultura negra."
DIA NACIONAL DA CONSCIÊNCIA NEGRA 2018;"As atividades do 20 de Novembro de 2018
concentraram ações de capacitação da população
negra: Oficina de Gastronomia, realizada no platô
da Serra da Barriga e o Seminário ""Estado,
Racismo e Violência"", em Maceió.";Execução direta da FCP;Contratação de serviços ;Recurso próprio da FCP; R$33.000,00 ;"As ações da FCP alusivas ao Dia Nacional da Consciência Negra, 20 de novembro de 2018, focavam principalmente na capacitação da população negra,
por meio da aprimoração e aquisição de novas habilidades capazes de inserir indivíduos no mercado de trabalho, assim como ações de formação voltadas ao diálogo e o debate sobre a situação do negro brasileiro atualmente, e o entendimento das limitações impostas pelo racismo e suas diversas facetas.";Maceió/AL;"15 alunos na Oficina de Gastronomia; 100 pessoas no seminário";Quilombolas (oficina), público geral Seminário;12/11/2018;20/11/2018;Inclusão social, mobilidade social através do fortalecimento de empreendedores locais e do conhecimento.
OFICINA DE TEATRO MUSICAL NEGRO;"Oficina abre um leque de oportunidades á alunos e alunas permitindo-lhes a escolha, para que fujam do lugar pré estabelecido de marginalização social. Além disso, a atividade é uma iniciativa de inclusão social através da arte e da cidadania, expandindo assim o universo artístico da população negra e o surgimento de novos talentos. A Oficina de Teatro Musical ocorreu no Museu do Samba, na Comunidade da Mangueira/RJ, local considerado um quilombo urbano, com duração de 3 meses,
setembro a novembro, afim de disseminar a linguagem do gênero teatro musical de forma gratuita a 85 participantes permitindo que novos talentos negros possam adquirir conhecimento básico para atuarem no mercado de trabalho com condição similar aos profissionais já atuantes no mercado. Além das oficinas de Dança, Canto, Interpretação, Dramaturgia e Direção Cênica, os alunos puderam participar do Ciclo de Palestras. As palestras foram proferidas para um público de 180 pessoas, além dos cursistas, e os assuntosforam: Processo de Dramaturgia e Encenação – Musical Dona Ivone Lara – Um Sorriso Negro, com Elísio Lopes Júnior; Historiografia Negra – O Samba como Patrimônio Imaterial da Humanidade, com Desirreé Reis; O Artista Negro no Brasil, com Adriana Lessa e Flávio Bauraqui; e a Produção Cultural como Representatividade Ancestral e Cultural, com Daniele Correa Nascimento.";Execução direta da FCP;Contratação de serviços ;Recurso próprio da FCP; R$100.000,00 ;"85 alunos capacitados; 180 pessoas participantes do ciclo de palestras.";Rio de Janeiro/RJ;"85 alunos capacitados; 180 pessoas participantes do ciclo de palestras.";atores e atrizes, cineastas, diretores, profissionais da dramaturgia;01/09/2018;30/11/2018;Inclusão social, mobilidade social através da arte, cultura e cidadania, expansão do universo artístico da população negra, surgimento de novos talentos
ANIVERSÁRIO DE 30 ANOS DA FCP;"Balé Folclórico da Bahia e a Fundação Cultural Palmares completaram 30 anos de existência em 2018 e considerando o currículo de atividades desenvolvidas pelo Balé e o considerável prestígio nacional e internacional do grupo;, a FCP convidou o Balé para integrar espetáculo em comemoração aos 30 anos da FCP em Salvador/BA, com o objetivo de unir as duas instituições que promovem o incentivo, a divulgação e o fomento dos maiores valores culturais de matrizes africanas. Visando promover ações de capacitação e inclusão cultural em prol da população negra, a FCP propôs a inserção de 30 jovens negros de baixa renda no elenco do espetáculo. Em atendimento à proposição, 30 jovens foram capacitados por meio de uma oficina de dança afro e percussão, atividade que ocorreu na cidade de Camaçari/BA.";Execução direta da FCP;Contratação de serviços ;Recurso próprio da FCP; R$150.000,00 ;"Formação de 30 jovens da comunidade
Cordoaria, dentre eles uma selecionada para
compor o Balé; Formação de plateia = 500
pessoas; 60 pessoas participantes nos
Seminários .";Camaçari/BA;"30 alunos formados; 500 pessoas formação de plateia publico geral; 60 pessoas nos seminários";comunidade quilombola de Cordoaria em Camaçari/BA;03/11/2018;17/12/2018;Inclusão social, mobilidade social através da arte, cultura e cidadania, expansão do universo artístico da população negra, surgimento de novos talentos
VAMOS SUBIR A SERRA 2018;"Afim de dar continuidade do Projeto Vamos Subir a Serra, em comemoração ao
Mês da Consciência Negra, foi instalada uma tenda climatizada, na praça
Multieventos, em Maceió, denominada Espaço Cultural Zumbi dos Palmares,
onde funcionou a Feira de Empreendedores Negros, de 14 a 18 de novembro de
2018. As comunidades Quilombolas de Alagoas expuseram seus produtos nos
stands da feira, possibilitando aos mesmos uma maior geração de renda, com a
comercialização de seus produtos e serviços.
Além da feira, ocorreu a Projeção Mapeada em União dos Palmares, ação que
disseminou a história e a cultura afro-brasileira, através da criação e projeção
de uma narrativa audiovisual, em 2d ou 3d, com acesso gratuito à sociedade em
geral.";Cetnro de Cultura e Estudo Etnicos ANAJO  ;CONVENIO;Emenda parlamentar; R$300.000,00 ;Comemorar o mês da Consciência Negra, com o intuito de promover a cultura afro-brasileira por meio da exposição de produtos de afroempreendedores quilombolas. Mobilizar a população Alagoana em prol das manifestações culturais negra.;Maceió/AL;4000;publico geral;14/11/2018;18/11/2018;Inclusão social, mobilidade social através do fortalecimento de empreendedores locais e do conhecimento.
CARAVANA DA JUVENTUDE;"O Projeto Caravana da Juventude Negra, desenvolvido pelo Instituto
Educacional p/ Conscientização e Realização de Políticas Públicas - ICPP,
acontece em uma estrutura móvel (CARRETA), percorrendo as 08 cidades do
Estado com uma programação de cursos, oficinas, palestras, debates, mostra de
vídeos, festival da cultura negra, exibições de filmes e batalha dos DJs.";ICPP;CONVENIO;Emenda parlamentar; R$900.000,00 ;Promover Ações de cultura, capacitação profissional, inclusão digital e educacional a jovens afro-descendentes de baixa renda das periferias de 8 municípios do Estado de Minas Gerais: Lagoa Santa, Itauna, Itabirito, Betim, Santa Luzia, Belo Horizonte, Pedro Leopoldo e Brumadinho.;Minas Gerais/MG;950 alunos certificados;jovens de baixa renda de periferias de Minas Gerais;28/02/2017;30/09/2017;Inclusão social, mobilidade social através da arte, cultura e cidadania 
BATUCABRUM;"projeto Batucabrum, idealizado pela Associação Saber Viver, tem como
finalidade e objetivo incentivar e facilitar a criação de trabalhos, sem distinção
de sexo, cor e idade, dentro do Vale do Paraopeba (Zona Urbana e zona rural),
além de promover e levar arte e cultura a uma parcela da juventude negra em
situação de risco social, no município de Brumadinho, através das seguintes
ações: Oficina semanal de teoria e prática de Violão; Oficina semanal de
Percussão; Oficina semanal de Artes Visuais: Aulas teóricas e práticas de
grafite; Oficinas mensal de experimentação musical.";Associação Saber Viver;CONVENIO;Emenda parlamentar; R$100.000,00 ;Oferecer oficinas semanais de musicalização infantil e juvenil;Brumadinho/MG;100 alunos atendidos;jovens de baixa renda de Brumadinho/MG;13/11/2017;25/12/2018;Inclusão social, mobilidade social através da arte, cultura e cidadania 
AQUILOMBARTE;"Realização da palestra ""O corpo negro em cena/Pretos em cena"", ministrada por Sérgio Laurentino e Jean Pedro, ator e diretor respectivamente, beneficiários das passagens e diárias emitidas. ";Execução direta da FCP;Diárias e Passagens ;Recurso proprio da FCP; R$4.013,00 ;"Oferecer a palestra ""O corpo negro em cena"", com carga horario de 8 horas, a estudantes de instituições de ensino publico do DF e ao publico geral";Brasília/DF;200 alunos;estudantes da Universidade de Brasília, publico geral;11/10/2018;13/10/2018;Inclusão social, mobilidade social através da arte, cultura e cidadania 
ENCONTRO NACIONAL DE MULHERES NEGRAS;Concessão de 7 passagens aéreas afim de viabilizar a participação da militancia feminina alagoana no Encontro Nacional de Mulheres Negras =30 - Contra o Racismo, a violencia e pelo bem viver. ;Execução direta da FCP;Diárias e Passagens ;Recurso proprio da FCP; R$12.921,29 ;"Viabilizar a participação da militancia feminina alagoana no Encontro. No dia 13 de novembro de 2018 foi realizado o
Encontro Estadual em Alagoas, concluindo com a
indicação de 33 militantes autônomas, de
organizações não governamentais e conselheiras
de direitos no Estado para participar do Encontro
Nacional.";Goiania/GO;7 liderancas femininas;mulheres negras;06/12/2018;09/12/2018;Promover a participação de mulheres negras em processos deliberativos e reinvidicativos de direitos.
IV CONAPIR;"Contratação dos grupos Obará e Nós Negras para compor a programação artística da IV CONAPIR 2018. A CONAPIR é um grande encontro de representantes da sociedade civil e do
governo para dialogar sobre a luta para o enfrentamento do racismo no Brasil.";Execução direta da FCP;Contratação de artistas;Recurso proprio da FCP; R$20.000,00 ;Promover, fomentar e difundir a cultura afro-brasileira;Brasília/DF;600;publico geral;27/05/2018;30/05/2018;Promover, fomentar e difundir a cultura afro-brasileira
Lançamento do Mapeamento de terreiros do DF;Contratação da artísta Dhi Ribeiro para compor a programação artística e cultural do Lancamento do Mapeamento de Terreiros do DF;Execução direta da FCP;Contratação de artistas;Recurso proprio da FCP; R$15.000,00 ;Promover, fomentar e difundir a cultura afro-brasileira;Brasília/DF;1000;publico geral;03/05/2018;03/05/2018;Promover, fomentar e difundir a cultura afro-brasileira
;;;;;;;;;;;;
